dataset,quality,sweep,bpp,psnr,infer_compress_s,infer_decompress_s,codec_compress_s,codec_decompress_s,infer_compress_gbs,infer_decompress_gbs,codec_compress_gbs,codec_decompress_gbs,e2e_comp_GBps,e2e_decomp_GBps
hurricane,1,mix,0.01243776,40.50972366333008,0.14955075323581696,0.14935715484619141,0.04289964818954468,0.027672896206378937,0.6227468297313995,0.6235540410330915,2.1709328955346923,3.365468390694854,0.48392862146181337,0.5260816279937215
hurricane,2,baseline,0.01123712,44.98035430908203,0.1533121275305748,0.15274966406822205,0.04464323276281357,0.0281365761756897,0.607468299877155,0.6097051540483422,2.086145014550204,3.3100067641497586,0.4704710058041224,0.5148664560442291
hurricane,2,mix,0.0164352,45.25245666503906,0.14885743749141694,0.1492652183175087,0.043701311111450196,0.02807926422357559,0.625647324252225,0.6239381050141372,2.131109000918424,3.3167627442087038,0.48365632897637734,0.5251488860950184
hurricane,3,baseline,0.01260416,46.474769592285156,0.15290976059436798,0.1525815653204918,0.0455658558011055,0.02872159957885742,0.6090667927249251,0.6103768647669007,2.0439044943667737,3.2425860267930373,0.46923777919387716,0.5136824694331751
hurricane,3,mix,0.01416704,46.324119567871094,0.1494426231980324,0.14846019160747528,0.04577289587259293,0.029069664001464844,0.6231974216494753,0.6273214149405587,2.034659500696173,3.203761056779151,0.4770740456748951,0.5246005362990779
hurricane,4,baseline,0.01483264,47.399574279785156,0.15293852990865708,0.15270300579071044,0.04578867191076279,0.02922185558080673,0.6089522209816671,0.6098914489554433,2.033958478705227,3.18707541360646,0.46864373175331875,0.5119270492192827
hurricane,4,mix,0.01652736,47.13478469848633,0.1492369595170021,0.14888320118188858,0.046109855830669406,0.029866464138031006,0.6240562509646786,0.6255390582834758,2.019790688644966,3.118288694340493,0.47675339521555177,0.5210205976881868
hurricane,5,baseline,0.01686528,48.42563247680664,0.1529504324197769,0.1524784642457962,0.0463134400844574,0.029608831882476806,0.6089048326842494,0.6107895821367803,2.010912108703466,3.1454215360878752,0.467381549355209,0.5114703740558595
hurricane,5,mix,0.0211968,48.169952392578125,0.14884431964159012,0.14933791786432266,0.046442463874816896,0.030119263470172884,0.6257024633913192,0.6236343642219581,2.005325507978662,3.0921160324447095,0.47689995085470466,0.518966456337882
hurricane,6,baseline,0.02084736,49.10955047607422,0.15292445075511932,0.1525694712996483,0.04584080028533936,0.029688255608081818,0.6090082848208637,0.6104252486962806,2.0316455402575744,3.1370067238371235,0.46855402025271903,0.5109920936778556
hurricane,6,mix,0.02649728,48.977264404296875,0.14933229106664658,0.14907830077409745,0.046921151995658876,0.030540160179138184,0.6236578625850131,0.624720411877204,1.984867240049102,3.049501276852044,0.4745509480411038,0.5185004757712248
nyx,1,baseline,0.07429623603820801,19.823415756225586,0.9227212446928025,0.9166935067772866,0.271211744427681,0.1848966066837311,0.5418754611707924,0.5454385749472496,1.8435779802055208,2.7042140413926514,0.41878397243075377,0.45388933133130704
nyx,1,mix,0.07482552528381348,19.80524444580078,0.9001232280731201,0.8954823028445243,0.269776862680912,0.1809608002305031,0.5554794992573876,0.5583583264702565,1.8533835519890096,2.7630293376417057,0.42738692299590864,0.46449273405317204
nyx,2,baseline,0.15009689331054688,22.12841033935547,0.9227734763026237,0.9175075485706329,0.2619888932704926,0.20040838247537612,0.5418447894746651,0.5449546445464566,1.9084778509437457,2.4949056213326517,0.4220255579016709,0.44726082356851393
nyx,2,mix,0.15150165557861328,22.118921279907227,0.9003274783492088,0.8953313593268395,0.26252339261770247,0.19908108824491502,0.5553534819538916,0.5584524598534426,1.9045921775364258,2.5115394154611326,0.4299777490679004,0.45686614868953945
nyx,3,baseline,0.28234243392944336,24.188308715820312,0.9222405748367309,0.9190632889270782,0.26980272120237353,0.2224838714003563,0.542157885526255,0.5440321749590324,1.853205919390858,2.2473539176251465,0.41944785198775003,0.4380020531579116
nyx,3,mix,0.2850680351257324,24.179576873779297,0.9018791798353195,0.8962330844402313,0.270272769510746,0.2227942715883255,0.5543979849843064,0.5578905852513687,1.8499828928571365,2.244222871779618,0.42656585631150135,0.4468166013157236
nyx,4,baseline,0.38060474395751953,24.87270736694336,0.9236582933068276,0.9167642166614532,0.272499105155468,0.2331894388794899,0.5413257301138164,0.5453965053531776,1.8348684107228048,2.1441794379821606,0.4180051894865746,0.43480013093640535
nyx,4,mix,0.3827035427093506,24.8637752532959,0.9017110033631325,0.8964977286458016,0.271513792514801,0.23293772894144057,0.5545013847398317,0.5577258971478618,1.8415270744404026,2.146496414609149,0.42617578639381376,0.44269904636084795
nyx,5,baseline,0.4847526550292969,25.25705337524414,0.9243460175395012,0.9179360866546631,0.2713260180950165,0.2436348471045494,0.5409229774483589,0.5447002326950734,1.842801525303421,2.0522515803555734,0.41817487161908967,0.43045154236241195
nyx,5,mix,0.4866495132446289,25.251792907714844,0.9016586867570877,0.8971496880054474,0.2713757115602493,0.24328409457206726,0.5545335583670842,0.5573205973148196,1.8424640772945253,2.05521039457796,0.42624495983854066,0.43842966390380084
nyx,6,baseline,0.6136069297790527,25.54790687561035,0.9242770931720734,0.91891519343853,0.2744679384827614,0.256366846203804,0.5409633146744173,0.5441198530291218,1.8217063995305363,1.9503301905212613,0.4171028757547913,0.42542979738902653
